RFID,Site,Notes
0700EE2C01,L,Not our bird; awaiting banding data from USGS
030003CB5F,L,Recap 2/12/16 @ LEAR8
0700EDEAA5,L,Formerly S; banded as chick in 2014 at 64B low
0700EDF4FF,L,Bred twice 2016; found dead in box 80 L late summer; latter brood predated also;DIED BOX 80 L AUG 2016
0700ED8674,L,S banded f3.right 2013;mate from 2016 breeding season predated in box
0700EDCD28,L,S banded as chick 2014 box 34 L
0700EE3D35,L,S banded as chick box IF2 in 2015
0700EDC2E5,L,DIED BOX 37-3 L JUNE 2017. Caught w/ 0700EE28C5 @TOIC
0700EE28C5,L,Caught w/ 0700EDC2E5 @TOIC
0700EDBB53,L,Caught w/ 0700ED977D @TOIC
0700EDF1E9,L,Nestling from Box 61-1 L 2016;Caught w/ 0700ED9211 @TOIC
0700ED9211,L,Caught w/  0700EDF1E9
0700EE0FAF,L,Detected at LOW and HIGH arrays F2016/W17
0700EDB48F,L,Nestling from Box 77 L 2016
0700EE19FA,L,Nestling from Box B5-1 H 2016;Moved back to H thus NOT a Disperser
0700EDCDE0,L,Was Y PT;O/B; Changed to Y PT;LB/O because of duplicate code 3/1/2017
0700EE343A,L,Nestling from Box 47 L 2016
0700EE16E7,L,Mites present on recap 3/1/2017
0700EDD1FB,L,incorrect nest record
0700EE1199,L,pics and feather taken 2018
0700EDD5D2,L,Nestling from Box 48 L 2016
0700EDE789,L,Bad toe on R leg
0700ED9457,L,Nestling from Box 29-1 H 2016;Nestling from Box 29-1 H 2016; NOT a disperser as bird disappeared from low
0700EE2A0C,L,DEAD IN BOX 55-10 L
0700EDA7DF,L,Nestling from Box 27A L 2016
0700ED8B89,L,Detected at LOW and HIGH arrays F2016/W17
0700EE3513,L,trapped with 0700EE28B9 8/23/17
0700ED9D6D,L,Nestling from Box 16 L 2016
0700EDE577,L,not our bird! Awaiting info from USGS
0700EDBDB7,L,Nestling from Box 42 L 2016
011017A580,L,Nestling from Box 40 L 2016
0700EE4308,L,From F5L 2013 for Genomics study
0700EDE71E,L,Deceased 9/19/18; abnormally large hemotoma @ F2L
0700EE369E,L,Nestling from Box 70 L 2016
0700EE43BC,L,Nestling from Box 33 L 2014
0700EDDDAF,L,Nestling from Box 40 L 2016
030002EB78,L,Nestling from Box IF5 L 2016
0700EDA87B,L,Nestling from Box 48 L 2016
0700EE3464,L,Nestling from Box 47-1 L (SECOND NEST) 2017;Little blood 
0700EDAA04,L,JUV @ TOIC
0700EE078D,L,JUV
0700EDD533,L,S banded as chick box 22-3 L 2017;juv
0700EE1F98,L,juv
0700EE44E2,L,juv
0700EE0731,L,juv caught with 0700EDC89F
